Region,City,Year,Country,Month,OriginalMonthlyValue,flight_trends,airbnb_trends,hotel_trends
Comunidad Foral de Navarra,Pamplona,2023,Spain,March,222.013,0.0,5.5,64.75
Comunidad Foral de Navarra,Pamplona,2023,Spain,April,405.920,0.0,5.8,69.0
Comunidad Foral de Navarra,Pamplona,2023,Spain,May,365.702,0.75,5.25,66.5
Comunidad Foral de Navarra,Pamplona,2023,Spain,June,376.011,1.5,5.75,64.25
Comunidad Foral de Navarra,Pamplona,2023,Spain,July,537.590,1.6,5.2,73.2
Comunidad Foral de Navarra,Pamplona,2023,Spain,August,659.684,0.75,3.25,70.25
Comunidad Foral de Navarra,Pamplona,2023,Spain,September,413.421,0.0,4.0,62.5
Comunidad Foral de Navarra,Pamplona,2023,Spain,October,366.772,0.6,3.8,56.6
Comunidad Foral de Navarra,Pamplona,2023,Spain,November,205.033,0.75,3.75,50.5
Comunidad Foral de Navarra,Pamplona,2023,Spain,December,199.989,0.6,2.0,45.6
Comunidad Foral de Navarra,Pamplona,2024,Spain,January,140.622,0.75,5.25,54.5
Comunidad Foral de Navarra,Pamplona,2024,Spain,February,158.008,1.0,3.0,57.25
Comunidad Foral de Navarra,Pamplona,2024,Spain,March,270.735,0.6,2.8,61.2
Comunidad Foral de Navarra,Pamplona,2024,Spain,April,313.234,1.5,3.5,65.0
Comunidad Foral de Navarra,Pamplona,2024,Spain,May,384.211,0.0,3.0,65.25
Comunidad Foral de Navarra,Pamplona,2024,Spain,June,357.474,1.2,5.8,70.6
Comunidad Foral de Navarra,Pamplona,2024,Spain,July,537.503,0.0,6.5,78.0
Comunidad Foral de Navarra,Pamplona,2024,Spain,August,697.408,0.0,2.5,74.5
Comunidad Foral de Navarra,Pamplona,2024,Spain,September,410.729,0.0,2.0,64.8
Comunidad Foral de Navarra,Pamplona,2024,Spain,October,356.099,0.0,3.0,54.0
Comunidad Foral de Navarra,Pamplona,2024,Spain,November,240.407,0.0,4.0,46.25
Comunidad Foral de Navarra,Pamplona,2024,Spain,December,216.200,0.0,1.0,44.2
La Rioja,Logroño,2020,Spain,January,10.310,0.0,1.25,41.75
La Rioja,Logroño,2020,Spain,February,11.239,0.0,3.0,31.5
La Rioja,Logroño,2020,Spain,March,20.544,0.0,0.6,9.8
La Rioja,Logroño,2020,Spain,April,23.099,0.0,0.0,3.75
La Rioja,Logroño,2020,Spain,May,52.052,0.0,0.0,5.0
La Rioja,Logroño,2020,Spain,June,89.842,0.0,1.25,13.0
La Rioja,Logroño,2020,Spain,July,208.917,0.0,1.0,16.25
La Rioja,Logroño,2020,Spain,August,306.808,0.0,1.4,16.0
La Rioja,Logroño,2020,Spain,September,143.480,0.0,0.5,13.25
La Rioja,Logroño,2020,Spain,October,143.594,0.0,0.0,10.0
La Rioja,Logroño,2020,Spain,November,87.490,0.0,0.0,6.2
La Rioja,Logroño,2020,Spain,December,74.552,0.0,0.0,6.0
La Rioja,Logroño,2021,Spain,January,10.310,0.0,0.0,5.8
La Rioja,Logroño,2021,Spain,February,11.239,0.0,0.0,6.0
La Rioja,Logroño,2021,Spain,March,20.544,0.0,0.0,6.75
La Rioja,Logroño,2021,Spain,April,23.099,0.0,0.0,8.25
La Rioja,Logroño,2021,Spain,May,52.052,0.0,0.6,16.0
La Rioja,Logroño,2021,Spain,June,89.842,0.0,1.0,19.5
La Rioja,Logroño,2021,Spain,July,208.917,0.0,0.75,22.5
La Rioja,Logroño,2021,Spain,August,306.808,0.0,0.8,28.4
La Rioja,Logroño,2021,Spain,September,143.480,0.0,1.25,25.75
La Rioja,Logroño,2021,Spain,October,143.594,0.0,0.6,24.0
La Rioja,Logroño,2021,Spain,November,87.490,0.0,1.5,18.5
La Rioja,Logroño,2021,Spain,December,74.552,0.0,0.0,11.25
La Rioja,Logroño,2022,Spain,January,40.599,0.0,0.6,17.0
La Rioja,Logroño,2022,Spain,February,62.046,0.0,2.25,23.25
La Rioja,Logroño,2022,Spain,March,75.648,0.0,1.5,23.25
La Rioja,Logroño,2022,Spain,April,142.334,0.0,2.25,24.75
La Rioja,Logroño,2022,Spain,May,126.877,0.0,1.8,22.4
La Rioja,Logroño,2022,Spain,June,147.709,0.0,0.75,24.25
La Rioja,Logroño,2022,Spain,July,229.040,0.0,1.2,27.2
La Rioja,Logroño,2022,Spain,August,286.573,0.0,0.5,29.25
