month,wiki_views_Unknown,region,country,total_wiki_views,wiki_views_Belgium,wiki_views_Brussels,wiki_views_Atomium,wiki_views_City of Brussels,wiki_views_Royal Palace of Brussels,wiki_views_Manneken Pis,wiki_views_Vlaams Gewest,wiki_views_Antwerp Zoo
2022-08,978.0,Euro area – 20 countries (2023-2025),Unknown,978,,,,,,,,
2022-09,1541.0,Euro area – 20 countries (2023-2025),Unknown,1541,,,,,,,,
2022-10,1565.0,Euro area – 20 countries (2023-2025),Unknown,1565,,,,,,,,
2022-11,1323.0,Euro area – 20 countries (2023-2025),Unknown,1323,,,,,,,,
2022-12,1446.0,Euro area – 20 countries (2023-2025),Unknown,1446,,,,,,,,
2023-01,1535.0,Euro area – 20 countries (2023-2025),Unknown,1535,,,,,,,,
2023-02,1223.0,Euro area – 20 countries (2023-2025),Unknown,1223,,,,,,,,
2023-03,1373.0,Euro area – 20 countries (2023-2025),Unknown,1373,,,,,,,,
2023-04,1438.0,Euro area – 20 countries (2023-2025),Unknown,1438,,,,,,,,
2023-05,1556.0,Euro area – 20 countries (2023-2025),Unknown,1556,,,,,,,,
2023-06,1273.0,Euro area – 20 countries (2023-2025),Unknown,1273,,,,,,,,
2023-07,1286.0,Euro area – 20 countries (2023-2025),Unknown,1286,,,,,,,,
2023-08,1341.0,Euro area – 20 countries (2023-2025),Unknown,1341,,,,,,,,
2023-09,1288.0,Euro area – 20 countries (2023-2025),Unknown,1288,,,,,,,,
2023-10,1223.0,Euro area – 20 countries (2023-2025),Unknown,1223,,,,,,,,
2023-11,1692.0,Euro area – 20 countries (2023-2025),Unknown,1692,,,,,,,,
2023-12,2772.0,Euro area – 20 countries (2023-2025),Unknown,2772,,,,,,,,
2024-01,1712.0,Euro area – 20 countries (2023-2025),Unknown,1712,,,,,,,,
2024-02,1368.0,Euro area – 20 countries (2023-2025),Unknown,1368,,,,,,,,
2024-03,5240.0,Euro area – 20 countries (2023-2025),Unknown,5240,,,,,,,,
2024-04,6967.0,Euro area – 20 countries (2023-2025),Unknown,6967,,,,,,,,
2024-05,12598.0,Euro area – 20 countries (2023-2025),Unknown,12598,,,,,,,,
2024-06,1462.0,Euro area – 20 countries (2023-2025),Unknown,1462,,,,,,,,
2024-07,1570.0,Euro area – 20 countries (2023-2025),Unknown,1570,,,,,,,,
2024-08,1868.0,Euro area – 20 countries (2023-2025),Unknown,1868,,,,,,,,
2024-09,2525.0,Euro area – 20 countries (2023-2025),Unknown,2525,,,,,,,,
2024-10,1875.0,Euro area – 20 countries (2023-2025),Unknown,1875,,,,,,,,
2024-11,1546.0,Euro area – 20 countries (2023-2025),Unknown,1546,,,,,,,,
2024-12,1564.0,Euro area – 20 countries (2023-2025),Unknown,1564,,,,,,,,
2020-01,4150.0,Euro area - 19 countries  (2015-2022),Unknown,4150,,,,,,,,
2020-02,3242.0,Euro area - 19 countries  (2015-2022),Unknown,3242,,,,,,,,
2020-03,3566.0,Euro area - 19 countries  (2015-2022),Unknown,3566,,,,,,,,
2020-04,3587.0,Euro area - 19 countries  (2015-2022),Unknown,3587,,,,,,,,
2020-05,1633.0,Euro area - 19 countries  (2015-2022),Unknown,1633,,,,,,,,
2020-06,1742.0,Euro area - 19 countries  (2015-2022),Unknown,1742,,,,,,,,
2020-07,1229.0,Euro area - 19 countries  (2015-2022),Unknown,1229,,,,,,,,
2020-08,1403.0,Euro area - 19 countries  (2015-2022),Unknown,1403,,,,,,,,
2020-09,1372.0,Euro area - 19 countries  (2015-2022),Unknown,1372,,,,,,,,
2020-10,1379.0,Euro area - 19 countries  (2015-2022),Unknown,1379,,,,,,,,
2020-11,1302.0,Euro area - 19 countries  (2015-2022),Unknown,1302,,,,,,,,
2020-12,1303.0,Euro area - 19 countries  (2015-2022),Unknown,1303,,,,,,,,
2021-01,3649.0,Euro area - 19 countries  (2015-2022),Unknown,3649,,,,,,,,
2021-02,1637.0,Euro area - 19 countries  (2015-2022),Unknown,1637,,,,,,,,
2021-03,1309.0,Euro area - 19 countries  (2015-2022),Unknown,1309,,,,,,,,
2021-04,1576.0,Euro area - 19 countries  (2015-2022),Unknown,1576,,,,,,,,
2021-05,1543.0,Euro area - 19 countries  (2015-2022),Unknown,1543,,,,,,,,
2021-06,1854.0,Euro area - 19 countries  (2015-2022),Unknown,1854,,,,,,,,
2021-07,1495.0,Euro area - 19 countries  (2015-2022),Unknown,1495,,,,,,,,
2021-08,1212.0,Euro area - 19 countries  (2015-2022),Unknown,1212,,,,,,,,
2021-09,1202.0,Euro area - 19 countries  (2015-2022),Unknown,1202,,,,,,,,
2021-10,1110.0,Euro area - 19 countries  (2015-2022),Unknown,1110,,,,,,,,
2021-11,1149.0,Euro area - 19 countries  (2015-2022),Unknown,1149,,,,,,,,
2021-12,1243.0,Euro area - 19 countries  (2015-2022),Unknown,1243,,,,,,,,
2022-01,1207.0,Euro area - 19 countries  (2015-2022),Unknown,1207,,,,,,,,
2022-02,1193.0,Euro area - 19 countries  (2015-2022),Unknown,1193,,,,,,,,
2022-03,1331.0,Euro area - 19 countries  (2015-2022),Unknown,1331,,,,,,,,
2022-04,1219.0,Euro area - 19 countries  (2015-2022),Unknown,1219,,,,,,,,
2022-05,1168.0,Euro area - 19 countries  (2015-2022),Unknown,1168,,,,,,,,
2022-06,1299.0,Euro area - 19 countries  (2015-2022),Unknown,1299,,,,,,,,
2022-07,1097.0,Euro area - 19 countries  (2015-2022),Unknown,1097,,,,,,,,
2022-08,978.0,Euro area - 19 countries  (2015-2022),Unknown,978,,,,,,,,
2022-09,1541.0,Euro area - 19 countries  (2015-2022),Unknown,1541,,,,,,,,
2022-10,1565.0,Euro area - 19 countries  (2015-2022),Unknown,1565,,,,,,,,
2022-11,1323.0,Euro area - 19 countries  (2015-2022),Unknown,1323,,,,,,,,
2022-12,1446.0,Euro area - 19 countries  (2015-2022),Unknown,1446,,,,,,,,
2023-01,1535.0,Euro area - 19 countries  (2015-2022),Unknown,1535,,,,,,,,
2023-02,1223.0,Euro area - 19 countries  (2015-2022),Unknown,1223,,,,,,,,
2023-03,1373.0,Euro area - 19 countries  (2015-2022),Unknown,1373,,,,,,,,
2023-04,1438.0,Euro area - 19 countries  (2015-2022),Unknown,1438,,,,,,,,
2023-05,1556.0,Euro area - 19 countries  (2015-2022),Unknown,1556,,,,,,,,
2023-06,1273.0,Euro area - 19 countries  (2015-2022),Unknown,1273,,,,,,,,
2023-07,1286.0,Euro area - 19 countries  (2015-2022),Unknown,1286,,,,,,,,
2023-08,1341.0,Euro area - 19 countries  (2015-2022),Unknown,1341,,,,,,,,
2023-09,1288.0,Euro area - 19 countries  (2015-2022),Unknown,1288,,,,,,,,
2023-10,1223.0,Euro area - 19 countries  (2015-2022),Unknown,1223,,,,,,,,
2023-11,1692.0,Euro area - 19 countries  (2015-2022),Unknown,1692,,,,,,,,
2023-12,2772.0,Euro area - 19 countries  (2015-2022),Unknown,2772,,,,,,,,
2024-01,1712.0,Euro area - 19 countries  (2015-2022),Unknown,1712,,,,,,,,
2024-02,1368.0,Euro area - 19 countries  (2015-2022),Unknown,1368,,,,,,,,
2024-03,5240.0,Euro area - 19 countries  (2015-2022),Unknown,5240,,,,,,,,
2024-04,6967.0,Euro area - 19 countries  (2015-2022),Unknown,6967,,,,,,,,
2024-05,12598.0,Euro area - 19 countries  (2015-2022),Unknown,12598,,,,,,,,
2024-06,1462.0,Euro area - 19 countries  (2015-2022),Unknown,1462,,,,,,,,
2024-07,1570.0,Euro area - 19 countries  (2015-2022),Unknown,1570,,,,,,,,
2024-08,1868.0,Euro area - 19 countries  (2015-2022),Unknown,1868,,,,,,,,
2024-09,2525.0,Euro area - 19 countries  (2015-2022),Unknown,2525,,,,,,,,
2024-10,1875.0,Euro area - 19 countries  (2015-2022),Unknown,1875,,,,,,,,
2024-11,1546.0,Euro area - 19 countries  (2015-2022),Unknown,1546,,,,,,,,
2024-12,1564.0,Euro area - 19 countries  (2015-2022),Unknown,1564,,,,,,,,
2020-01,,Belgium,Belgium,305419,235585.0,69834.0,,,,,,
2020-02,,Belgium,Belgium,273135,208841.0,64294.0,,,,,,
2020-03,,Belgium,Belgium,293384,238416.0,54968.0,,,,,,
2020-04,,Belgium,Belgium,379565,316033.0,63532.0,,,,,,
2020-05,,Belgium,Belgium,322491,264957.0,57534.0,,,,,,
2020-06,,Belgium,Belgium,253737,204992.0,48745.0,,,,,,
2020-07,,Belgium,Belgium,259030,209373.0,49657.0,,,,,,
2020-08,,Belgium,Belgium,259986,201870.0,58116.0,,,,,,
2020-09,,Belgium,Belgium,250008,203195.0,46813.0,,,,,,
2020-10,,Belgium,Belgium,289803,236541.0,53262.0,,,,,,
2020-11,,Belgium,Belgium,260630,206966.0,53664.0,,,,,,
2020-12,,Belgium,Belgium,256614,199904.0,56710.0,,,,,,
2021-01,,Belgium,Belgium,255210,202267.0,52943.0,,,,,,
2021-02,,Belgium,Belgium,229350,184159.0,45191.0,,,,,,
2021-03,,Belgium,Belgium,275998,222740.0,53258.0,,,,,,
2021-04,,Belgium,Belgium,261359,211977.0,49382.0,,,,,,
2021-05,,Belgium,Belgium,282843,230398.0,52445.0,,,,,,
2021-06,,Belgium,Belgium,390303,333419.0,56884.0,,,,,,
2021-07,,Belgium,Belgium,349845,291861.0,57984.0,,,,,,
2021-08,,Belgium,Belgium,305107,247174.0,57933.0,,,,,,
2021-09,,Belgium,Belgium,283364,224085.0,59279.0,,,,,,
2021-10,,Belgium,Belgium,281554,221904.0,59650.0,,,,,,
2021-11,,Belgium,Belgium,270027,213297.0,56730.0,,,,,,
2021-12,,Belgium,Belgium,271723,215434.0,56289.0,,,,,,
2022-01,,Belgium,Belgium,299475,233980.0,65495.0,,,,,,
2022-02,,Belgium,Belgium,321486,246411.0,75075.0,,,,,,
2022-03,,Belgium,Belgium,344403,257863.0,86540.0,,,,,,
2022-04,,Belgium,Belgium,310587,240433.0,70154.0,,,,,,
2022-05,,Belgium,Belgium,308927,239223.0,69704.0,,,,,,
2022-06,,Belgium,Belgium,303700,237481.0,66219.0,,,,,,
2022-07,,Belgium,Belgium,306810,241589.0,65221.0,,,,,,
2022-08,,Belgium,Belgium,318705,246130.0,72575.0,,,,,,
2022-09,,Belgium,Belgium,340671,263619.0,77052.0,,,,,,
2022-10,,Belgium,Belgium,346507,264820.0,81687.0,,,,,,
2022-11,,Belgium,Belgium,459090,370346.0,88744.0,,,,,,
2022-12,,Belgium,Belgium,370483,291228.0,79255.0,,,,,,
2023-01,,Belgium,Belgium,336044,254399.0,81645.0,,,,,,
2023-02,,Belgium,Belgium,312443,233781.0,78662.0,,,,,,
2023-03,,Belgium,Belgium,344424,256588.0,87836.0,,,,,,
2023-04,,Belgium,Belgium,318091,237970.0,80121.0,,,,,,
2023-05,,Belgium,Belgium,347199,258520.0,88679.0,,,,,,
2023-06,,Belgium,Belgium,330921,254526.0,76395.0,,,,,,
2023-07,,Belgium,Belgium,374885,282351.0,92534.0,,,,,,
2023-08,,Belgium,Belgium,328407,254670.0,73737.0,,,,,,
2023-09,,Belgium,Belgium,305424,232289.0,73135.0,,,,,,
2023-10,,Belgium,Belgium,357164,259835.0,97329.0,,,,,,
2023-11,,Belgium,Belgium,315238,244621.0,70617.0,,,,,,
2023-12,,Belgium,Belgium,308803,236746.0,72057.0,,,,,,
2024-01,,Belgium,Belgium,354764,263808.0,90956.0,,,,,,
2024-02,,Belgium,Belgium,305575,232151.0,73424.0,,,,,,
2024-03,,Belgium,Belgium,331535,253946.0,77589.0,,,,,,
2024-04,,Belgium,Belgium,298862,226104.0,72758.0,,,,,,
2024-05,,Belgium,Belgium,295566,221551.0,74015.0,,,,,,
2024-06,,Belgium,Belgium,342433,275917.0,66516.0,,,,,,
2024-07,,Belgium,Belgium,317172,254799.0,62373.0,,,,,,
2024-08,,Belgium,Belgium,284151,224217.0,59934.0,,,,,,
2024-09,,Belgium,Belgium,251098,189125.0,61973.0,,,,,,
2024-10,,Belgium,Belgium,260061,193397.0,66664.0,,,,,,
2024-11,,Belgium,Belgium,250980,191538.0,59442.0,,,,,,
2024-12,,Belgium,Belgium,261055,202288.0,58767.0,,,,,,
2020-01,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,308434,235585.0,,17039.0,22243.0,4201.0,29366.0,,
2020-02,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,278304,208841.0,,15958.0,25047.0,3568.0,24890.0,,
2020-03,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,290131,238416.0,,10737.0,20003.0,2879.0,18096.0,,
2020-04,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,372656,316033.0,,11231.0,21814.0,3225.0,20353.0,,
2020-05,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,326443,264957.0,,15296.0,20778.0,3332.0,22080.0,,
2020-06,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,255724,204992.0,,10061.0,18738.0,3493.0,18440.0,,
2020-07,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,260830,209373.0,,10456.0,18906.0,3372.0,18723.0,,
2020-08,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,251081,201870.0,,10210.0,19390.0,2725.0,16886.0,,
2020-09,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,288688,203195.0,,9257.0,19923.0,2813.0,53500.0,,
2020-10,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,290322,236541.0,,10433.0,23713.0,4104.0,15531.0,,
2020-11,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,257493,206966.0,,9337.0,21653.0,3042.0,16495.0,,
2020-12,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,253105,199904.0,,11052.0,23157.0,3290.0,15702.0,,
2021-01,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,251728,202267.0,,11328.0,20673.0,3082.0,14378.0,,
2021-02,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,229073,184159.0,,10343.0,17590.0,2775.0,14206.0,,
2021-03,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,274322,222740.0,,11121.0,20332.0,3318.0,16811.0,,
2021-04,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,261136,211977.0,,10887.0,19559.0,3192.0,15521.0,,
2021-05,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,282945,230398.0,,10663.0,20329.0,2990.0,18565.0,,
2021-06,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,390193,333419.0,,9769.0,25528.0,3181.0,18296.0,,
2021-07,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,358542,291861.0,,13639.0,27446.0,3411.0,22185.0,,
2021-08,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,312801,247174.0,,12266.0,24637.0,3157.0,25567.0,,
2021-09,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,283812,224085.0,,11953.0,21581.0,2868.0,23325.0,,
2021-10,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,286915,221904.0,,13679.0,24502.0,3194.0,23636.0,,
2021-11,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,271240,213297.0,,13374.0,23239.0,3323.0,18007.0,,
2021-12,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,269135,215434.0,,11858.0,21048.0,3139.0,17656.0,,
2022-01,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,292415,233980.0,,13908.0,24931.0,3466.0,16130.0,,
2022-02,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,303099,246411.0,,11238.0,25442.0,3212.0,16796.0,,
2022-03,,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,329500,257863.0,,13148.0,35256.0,3613.0,19620.0,,
